"","X","x"
"Intercept",1,-0.150274329564675
"FG_Percent",2,0.0648936084799904
"FT_Percent",3,0.0916559830830182
"FG3_Percent",4,0.076946524960473
"layup",5,0.462121674680492
"dunk",6,0.744549929952188
"hook",7,0.200465412809824
"fadeaway",8,0.206581518353427
"pullup",9,0.229026968382821
"running",10,0.138114101528059
"driving",11,0.330312498653105
"reverse",12,0.0887588597283057
"fingerroll",13,0.166288035729999
"putback",14,0.198219001015021
"turnaround",15,0.0490943288772307
"bank",16,0.267760002502659
"point_diff",17,0.0654496889461877
"tip",18,0.0749310457429326
"TOUCH_TIME",19,-0.274218082290253
"DRIBBLES",20,-0.00769562899240083
"ratio",21,-0.240663508813066
"jump_shot",22,0.192711195603562
"End_SC",23,-0.0386014837731297
"End_PC",24,-0.0682517918144533
"LOCATION",25,-0.0940305553048999
"Quick_S",26,-0.00293157132634418
"Clutch_T",27,0.0690804145757879
"Garbage_T",28,-0.0898648834091246
"SHOT_CLOCK",29,0.0626025024498891
"SHOT_NUMBER",30,-0.0448159980645493
