"","x"
"1","aaron brooks"
"2","al farouq aminu"
"3","al jefferson"
"4","alan anderson"
"5","amir johnson"
"6","andre drummond"
"7","andre iguodala"
"8","andre miller"
"9","anthony davis"
"10","anthony morrow"
"11","arron afflalo"
"12","blake griffin"
"13","boris diaw"
"14","bradley beal"
"15","brandon bass"
"16","brandon knight"
"17","brian roberts"
"18","carlos boozer"
"19","caron butler"
"20","chandler parsons"
"21","chris paul"
"22","cj miles"
"23","courtney lee"
"24","damian lillard"
"25","danny green"
"26","dante cunningham"
"27","darrell arthur"
"28","david west"
"29","demarcus cousins"
"30","demarre carroll"
"31","deron williams"
"32","derrick favors"
"33","derrick williams"
"34","dirk nowitzki"
"35","dj augustin"
"36","draymond green"
"37","dwyane wade"
"38","enes kanter"
"39","eric bledsoe"
"40","evan turner"
"41","gerald green"
"42","gerald henderson"
"43","gordon hayward"
"44","greg monroe"
"45","harrison barnes"
"46","isaiah thomas"
"47","jamal crawford"
"48","james harden"
"49","jared dudley"
"50","jared sullinger"
"51","jarrett jack"
"52","jeff green"
"53","jeff teague"
"54","jeremy lin"
"55","jerryd bayless"
"56","jimmy butler"
"57","jj hickson"
"58","joakim noah"
"59","joe johnson"
"60","john henson"
"61","john wall"
"62","kawhi leonard"
"63","kemba walker"
"64","kendrick perkins"
"65","kent bazemore"
"66","kirk hinrich"
"67","klay thompson"
"68","kris humphries"
"69","kyle korver"
"70","kyle lowry"
"71","kyle singler"
"72","kyrie irving"
"73","lamarcus aldridge"
"74","lance stephenson"
"75","lavoy allen"
"76","lebron james"
"77","luc mbah a moute"
"78","luis scola"
"79","luol deng"
"80","marc gasol"
"81","marcin gortat"
"82","marco belinelli"
"83","marcus morris"
"84","mario chalmers"
"85","markieff morris"
"86","marreese speights"
"87","marvin williams"
"88","matt barnes"
"89","matt bonner"
"90","mike conley"
"91","mike scott"
"92","mo williams"
"93","monta ellis"
"94","nick collison"
"95","nicolas batum"
"96","norris cole"
"97","oj mayo"
"98","pablo prigioni"
"99","patrick patterson"
"100","paul millsap"
"101","paul pierce"
"102","pj tucker"
"103","ramon sessions"
"104","reggie jackson"
"105","richard jefferson"
"106","rodney stuckey"
"107","roy hibbert"
"108","rudy gay"
"109","russell westbrook"
"110","serge ibaka"
"111","shaun livingston"
"112","spencer hawes"
"113","stephen curry"
"114","taj gibson"
"115","terrence ross"
"116","thaddeus young"
"117","tim duncan"
"118","timofey mozgov"
"119","tobias harris"
"120","tony allen"
"121","tony parker"
"122","trevor ariza"
"123","trevor booker"
"124","tristan thompson"
"125","ty lawson"
"126","tyler hansbrough"
"127","tyler zeller"
"128","tyreke evans"
"129","vince carter"
"130","wayne ellington"
"131","wesley johnson"
"132","wesley matthews"
"133","zach randolph"
